run,time,timesteps,X:VCD,X:Glc,X:Lac,X:Titer,F:Glc
14,8,8.0,9.932949415694958,55.0926871245808,128.5656389529279,882.0096152795724,11.581632653061224
14,9,9.0,7.482042290723099,58.34645249426611,141.06850761093278,1020.0464650501408,0.0
14,10,10.0,5.373040198665754,60.95976736540713,150.2747169856555,1124.5236166689342,0.0
14,11,11.0,3.846411514765961,56.584188361843054,156.84367192490186,1200.352061507656,0.0
14,12,12.0,2.781481217297043,53.43495107242256,161.57182268398657,1255.5183800566142,0.0
14,13,13.0,2.020682407907911,51.15208830628142,164.99939146425905,1295.7984012645636,0.0
14,14,14.0,1.4710864911606938,49.49181910183745,167.49226997109596,1325.2393188691954,0.0
15,0,0.0,0.4581632653061225,36.42857142857143,0.0,0.0,0.0
15,1,1.0,1.436059714193184,35.603805432355486,1.2388665612292438,0.0461386303422131,0.0
15,2,2.0,4.051276734630615,33.154427327071005,4.918279441786276,0.922330893518688,0.0
15,3,3.0,9.099637202661254,27.027150319242047,14.124520041736664,11.49574260272624,13.112244897959185
15,4,4.0,14.75932207081966,15.90273194483346,31.455154544695034,68.69311722835324,13.112244897959185
15,5,5.0,17.840741046495328,13.148972920193993,55.33520707881048,209.53679672170784,13.112244897959185
15,6,6.0,17.694875789207366,9.05890445708064,81.2563606146364,414.0190297061067,13.112244897959185
15,7,7.0,15.486602675970696,6.2454863191080205,105.30595257944805,631.503168753163,13.112244897959185
15,8,8.0,12.58112156725423,5.98751394602212,125.53164811897862,826.8482445977615,13.112244897959185
15,9,9.0,9.845226083566637,8.443809154935629,141.63171665458543,992.1125205591958,13.112244897959185
15,10,10.0,7.555537911008167,13.28113537119822,154.10379809546825,1127.882243449326,13.112244897959185
15,11,11.0,5.719441006303388,20.07536667961148,163.6101698141386,1235.7842490299984,0.0
15,12,12.0,4.280406774643157,20.399742795033674,170.76649253998008,1319.0410629037808,0.0
15,13,13.0,3.172066102127669,16.85612443291737,176.09623103708932,1381.3902155083074,0.0
15,14,14.0,2.332841771273543,14.241328926819367,180.03106672064507,1427.438239724476,0.0
16,0,0.0,0.5316326530612245,55.0,0.0,0.0,0.0
16,1,1.0,1.6761729913032937,54.0382808595517,1.443901747818373,0.0436151889256475,0.0
16,2,2.0,4.673522291120568,51.191807033260346,5.717670978210128,1.159735075018553,0.0
16,3,3.0,10.127786806437651,44.249649499540425,16.141837183692058,14.81667487729918,14.03061224489796
16,4,4.0,15.779085909314384,32.98401693568719,34.998054710877284,82.96075613024034,14.03061224489796
16,5,5.0,18.56199273378485,30.273042836446205,60.14992651830431,240.5599510315136,14.03061224489796
16,6,6.0,18.1586595166836,26.500277305404538,86.90214732433742,463.06793082134914,14.03061224489796
16,7,7.0,15.890714619622528,24.127573947361373,111.55606020373192,701.1148804260802,14.03061224489796
16,8,8.0,12.997020334900323,24.306893736656225,132.3763169203206,919.7940191826872,14.03061224489796
16,9,9.0,10.189916477958215,27.25296537421225,149.03576932564008,1104.1956686097203,14.03061224489796
16,10,10.0,7.766678597234651,32.714422841759585,161.91122498587262,1251.88127108667,0.0
16,11,11.0,5.790871214585508,39.994425002063046,171.6202197084696,1366.0731654606918,0.0
16,12,12.0,4.260244021180679,35.21150919665959,178.80414606777885,1451.8466888503856,0.0
16,13,13.0,3.1169143635503187,31.70275986954499,184.07514274552705,1515.2604764829132,0.0
16,14,14.0,2.270029804060761,29.141808096906807,187.9228875779974,1561.7722515588664,0.0
